"будучи обременен в многочисленном семействе количеством членов" 	(форма прошения)Островский. Доходное место. 3, 4. Досужев.См. голод не тетка.См. будьте отцы родные.
"Где ж он?" — Он там! — "Где там?" — Не знаем 	Державин. На смерть кн. Мещерского.
"жди череду!" 	Ср. Седой старик спесивится:"Нельзя никак — жди череду".Болит моя головушка,Щемит в груди ретивое,Печаль моя всесветная;Пришла беда незваная,Как с плеч свалить — не знаю сам.И сила есть — да воли нет;Наруже клад — да взять нельзя:Заклял его обычай наш;Ходи, гляди да мучайся,Толкуй с башкой порожнею...Кольцов. Пора любви.Младшую дочь не выдают прежде старшей.
"Подари ж" уехал в Париж, а остался один "Купи ж" 	(ответ на просьбу: подари ж)Ср. Родись, крестись, женись, умирай — за все денежки подавай.Ср. Der alte Schenk ist todt und Gebert hat ein Bein gebrochen.Ср. Donat est mort et Restaurat dort.Ср. Gabr. Meurier. Sent. XVI s.Ср. Ite ad vendentes.Ср. Мудрые отвечали: чтобы не случилось недостатка и у нас и у вас, пойдите лучше к продающим и купите себе.Матф. 25, 9.См. даром.См. с живого и мертвого драть.
"Хлеб да соль"! — Просим! 	(хлеба кушать.)Пожеланье вошедшего во время обеда — с одной стороны, и приглашение участвовать — с другой.Ср. "Хлеб да соль!" — Спасибо, служба! Хлеба кушать!Дельвиг. Отставной солдат. Пастухи.См. чай да сахар.
(Без божбы) не обманешь — не продашь 	Ср. Делать прибыль для кармана — Надо совестью скользя,Торговать же без обмана,Положительно, нельзя...Классик. На что решиться?Ср. "В день теперя не оплюешься,Как еще прощает Бог:Осквернил уста я ложию — Не обманешь — не продашь".И опять на церковь БожиюДолго крестится торгаш.Н.А. Некрасов. Коробейники. 3.Ср. (Обманом) Антипушка, и торговля держится. Не помимо пословица-то говорится: "не обмануть — не продать".Островский. Семейная картина. Степанида.Ср. Купец едва может избежать погрешности, а кормчий не спасется от греха.И. Сирах. 26, 28.См. не солгать, так не продать.См. пропади моя душа.
O rus! 	О Русь!А.С. Пушкин. Евг. Онег. Эпиграф к гл. 2.Ср. Ты и убогая,Ты и обильная,Ты и могучая,Ты и бессильная,Матушка Русь!Некрасов. Кому на Руси жить хорошо. Русь.Ср. Русь! Русь! вижу тебя из моего чудного прекрасного далека... но какая же непостижимая тайная сила влечет к тебе?Гоголь. Мертвые души. 1, 11.Ср. O rus, quando ego te aspiciam.О деревня, когда я увижу тебя.Horat. Sat. 2, 6, 60.Ср. O ubi campi!О, где поля!Virg.
Poor Jorick! молвил он уныло{,} 	Он на руках меня держал.А.С. Пушкин. Евг. Онег. 2, 37. Ленский у могилы Ларина.Ср. Alas, poor Yorick!(Восклицание Гамлета над черепом шута.)Shakesp. Hamlet. 5, 1. Hamlet.Ср. Sterne. Tristram Shandy. 2, 12.См. держать на руках.
{...}пойдет у нас уж музыка не та 	Тогда пойдет у нас уж музыка не та:У нас запляшут лес и горыКрылов. Квартет.Намек на Орфея, который своими песнями приводил в движение (трогал) — камни и деревья (мифол. греч.).См. музыка не та.
{...}слава 	Яркая заплатаНа ветхом рубище певца.А.С. Пушкин.Ср. Von des Lebens Gütern allenIst der Ruhm das höchste doch;Wenn der Leib in Staub zerfallen,Lebt der grosse Name noch.Schiller. Siegesfest.Ср. La fama è un sogno, anzi del sogno un ombra,Chi ad ogni vento si dilegua e sgombra.Слава сон; — даже только тень сна,Которая от всякого ветра разлетается и исчезает.Tasso. Gerusalemme liberata. 14, 63.См. добрые умирают, а дела их живут.
