...A voli troppo alti e repentini… 	См. Счастью не вовсе верь!.
...Due cose belle ha il mondo:… 	См. Смерть к светлой вечности нам отворяет дверь.
...Monarca, a cui… 	См. Солнце не заходит в моем государстве.
A ami racommodé ne te fie qu’à moitié. 	См. Замиреный друг не надежен.
À aucuns les biens viennent en dormant. 	См. Счастье и сонного найдет.
A blind man would bi glad to see it. 	См. Посмотрим, сказал слепой, как будет плясать хромой.
A bon chat — bon rat. 	См. Дока.
A bon vin il ne faut point d’enseigne. 	См. Хороший товар сам себя хвалит.
A bonne volonté ne faut la faculté. 	A bonne volonté ne faut (ne manque pas) la faculté.См. Хочу — половина могу.
A bow long lent at length must wax wease. 	См. Что больше понатягивать, то скорее лопнет.
A bras ouverts. 	См. С распростертыми объятиями.
A Brebis tondu Dieu mesure le vent. 	См. Бог по силе крест налагает.
A buon intenditor poche parole bastano. 	См. Умный слышит в полслова.
A buon vino non bisogna frasca. 	См. Хороший товар сам себя хвалит.
A burnt child dreads the fire. 	См. Обжегшись на молоке, будешь дуть и на воду.
A cader va chi troppo in alto sale. 	См. Гроза бьет по высокому дереву.
A caliga ad consulatum perductus. 	A caliga ad consulatum perductus (Marius).См. Худой солдат, который не надеется быть генералом.
A capillis usque ad ungues. 	См. От головы до пяток.
A capite usque ad calcem. 	См. От головы до пяток.
A caval donato non si guarda in bocca. 	См. Даровому коню в зубы не смотрят.
A chair de loup dent de chien. 	См. На крепкий сук — острый топор.A chair de loup dent de chien.См. Нашла коса на камень.
A chaque saint sa chandelle. 	См. Молчалин.
A chemin battu il ne croît point d’herbe. 	См. На битой дороге трава не растет.
A cheval donné il ne faut point regarder dans la bouche. 	См. Даровому коню в зубы не смотрят.
A chose faite point de remède. 	См. Что о том тужить, чего нельзя воротить.
A corsaire corsaire et demi. 	См. Плут плутом губится.
A cœur vaillant rien d’impossible. 	См. Смелым Бог владает.
A demain les affaires. 	См. Завтра, завтра, не сегодня, Так ленивцы говорят.
A desonor meurt à bon droit… 	См. Книги — лучший друг человека.
A dix il faut faire une croix. 	См. Крест поставить.
À fou — fortune. 	См. Дуракам счастье.
A fronte simul et occipitio oculatus. 	См. На затылке глаз нет.
A furore Normanorum libera nos domine! 	См. Фурия воинственная.
A good neighbour, a good morrow. 	См. Не купи двора, купи соседа.
A habitation giddy and unsure… 	См. Любовь народная.
A horse! a horse! my kingdom for a horse. 	См. Коня! коня! Престол мой за коня.
A la chandelle la chèvre semble demoiselle. 	См. Ночь матка — все гладко!.
A la guerre comme à la guerre. 	См. На войне, как на войне.
A la lettre. 	См. Слово в слово.
A la plume et au chant l’oiseau, et au parler le bon cerveau. 	См. Знать человека — по речам.
Aliquando et insanire iucundum est. 	См. Делу время, потехе час.
Aliquem foras quatere. 	См. Расквасить нос.
Aliquem lactare, et falsa spe producere. 	См. По губам мазать.
Aliquid ad parietem figere. 	См. Афишевать.
Aliquid mali propter vicinum malum. 	См. Не купи двора, купи соседа.
Aliquis in omnibus, nullus in singulis. 	См. Мы все учились понемногу, Чему-нибудь и как-нибудь.
Aliud ex alio malum. 	См. Беда беду родит.
Aliud stans, aliud sedens sentis. 	Aliud stans, aliud sedens (de patria) sentis.См. Семь пятниц на неделе.
Alium silere quod voles, primus sile. 	См. За собой слово не удержав, за людьми не удерживают.Alium silere quod voles, primus sile.См. Скажешь с уха на ухо, узнают с угла на угол.
Alius alio plus invenire potest, nemo omnia. 	См. Всезнанья Бог человеку не дал.
All by love and nothing by force. 	См. Не все таской, ино и лаской.
All covet, all lose. 	См. За все браться — ничего не сделать.
All is but toys. 	См. Все суета.
All is weil, that end’s well. 	См. Конец венчает дело.
All ogni uccello suo nido è bello. 	См. Всякому свое мило.
